1592, Ajay Kumar,Urologist,blasser prolapse,4
1593, Ajay Kumar,Urologist,postate cancer,5
1594, Ajay Kumar,Urologist,prostatis,1
1595, Ajay Kumar,Urologist,hematuria,3
1596, Ajay Kumar,Urologist,overactive bladder,2
1597, Ajay Kumar,Urologist,blasser prolapse,4
1598, Ajay Kumar,Urologist,prostatis,1
1599, Ajay Kumar,Urologist,hematuria,3
1600, Ajay Kumar,Urologist,overactive bladder,2
1601, Ajay Kumar,Urologist,blasser prolapse,4
1602, Ajay Kumar,Urologist,prostatis,1
1603, Ajay Kumar,Urologist,postate cancer,5
1604, Ajay Kumar,Urologist,overactive bladder,2
1605, Ajay Kumar,Urologist,prostatis,1
1445, Ashok L. Kirpalani,Gynecologist,amenorrhea,3
1446, Ashok L. Kirpalani,Gynecologist,menstrual disorder,4
1447, Ashok L. Kirpalani,Gynecologist,uterine fibroids,2
1448, Ashok L. Kirpalani,Gynecologist,amenorrhea,3
1449, Ashok L. Kirpalani,Gynecologist,pelvic pain,1
1450, Ashok L. Kirpalani,Gynecologist,menstrual disorder,4
1451, Ashok L. Kirpalani,Gynecologist,pelvic pain,1
1452, Ashok L. Kirpalani,Gynecologist,endometriosis,5
1453, Ashok L. Kirpalani,Gynecologist,uterine fibroids,2
1454, Ashok L. Kirpalani,Gynecologist,amenorrhea,3
1455, Ashok L. Kirpalani,Gynecologist,endometriosis,5
1456, Ashok L. Kirpalani,Gynecologist,pelvic pain,1
2293,A. Muruganathan,Neurologist,Brain Tumour,5
2294,A. Muruganathan,Neurologist,Brain Tumour,5
2295,A. Muruganathan,Neurologist,Brain Tumour,5
2296,A. Muruganathan,Neurologist,Migrane,4
2297,A. Muruganathan,Neurologist,Migrane,4
2298,A. Muruganathan,Neurologist,Migrane,4
2335,A. Muruganathan,Neurologist,Sclerosis,3
2336,A. Muruganathan,Neurologist,Sclerosis,3
2337,A. Muruganathan,Neurologist,Sclerosis,3
2366,A. Muruganathan,Neurologist,Alzheimer,2
2367,A. Muruganathan,Neurologist,Alzheimer,2
2368,A. Muruganathan,Neurologist,Alzheimer,2
